ship	leg	departure	arrival	startx	starty	destinationx	destinationy
2	1	1757	1757	250	-100	287	295
3	1	1757	1757	250	-150	287	295
4	1	1757	1757	250	-200	287	295
5	1	1757	1757	250	-250	287	295
6	1	1757	1757	250	-300	287	295
7	1	1757	1757	250	-350	287	295
8	1	1757	1757	250	-400	287	295
9	1	1757	1757	250	-450	287	295
10	1	1757	1757	250	-500	287	295
11	1	1758	1758	250	-100	287	295
12	1	1758	1758	250	-150	287	295
13	1	1758	1758	250	-200	287	295
14	1	1758	1758	250	-250	287	295
15	1	1758	1758	250	-300	287	295
16	1	1758	1758	250	-350	287	295
17	1	1758	1758	250	-400	287	295
18	1	1758	1758	250	-450	287	295
19	1	1758	1758	250	-500	287	295
20	1	1758	1758	250	-550	287	295
21	1	1759	1759	250	-100	287	295
22	1	1759	1759	250	-150	287	295
23	1	1759	1759	250	-200	287	295
24	1	1759	1759	250	-250	287	295
25	1	1759	1759	250	-300	287	295
26	1	1759	1759	250	-350	287	295
27	1	1759	1759	250	-400	287	295
28	1	1759	1759	250	-450	287	295
29	1	1760	1760	250	-100	287	295
30	1	1760	1760	250	-150	287	295
31	1	1760	1760	250	-200	287	295
32	1	1760	1760	250	-250	287	295
33	1	1760	1760	250	-300	287	295
34	1	1760	1760	250	-350	287	295
35	1	1760	1760	250	-400	287	295
36	1	1761	1761	250	-100	287	295
37	1	1761	1761	250	-150	287	295
38	1	1761	1761	250	-200	287	295
39	1	1761	1761	250	-250	287	295
40	1	1761	1761	250	-300	287	295
41	1	1761	1761	250	-350	287	295
42	1	1761	1761	250	-400	287	295
43	1	1761	1761	250	-450	287	295
44	1	1761	1761	250	-500	287	295
45	1	1761	1761	250	-550	287	295
46	1	1762	1762	250	-100	287	295
47	1	1762	1762	250	-150	287	295
48	1	1762	1762	250	-200	287	295
49	1	1762	1762	250	-250	287	295
50	1	1762	1762	250	-300	287	295
51	1	1762	1762	250	-350	287	295
52	1	1762	1762	250	-400	287	295
53	1	1762	1762	250	-450	287	295
54	1	1762	1762	250	-500	287	295
55	1	1762	1762	250	-500	287	295
56	1	1763	1763	250	-100	287	295
57	1	1763	1763	250	-150	287	295
58	1	1763	1763	250	-200	287	295
59	1	1763	1763	250	-250	287	295
60	1	1763	1763	250	-300	287	295
61	1	1763	1763	250	-350	287	295
62	1	1763	1763	250	-400	287	295
63	1	1763	1763	250	-450	287	295
64	1	1763	1763	250	-500	287	295
65	1	1763	1763	250	-550	287	295
66	1	1763	1763	250	-600	287	295
67	1	1764	1764	250	-100	287	295
68	1	1764	1764	250	-150	287	295
69	1	1764	1764	250	-200	287	295
70	1	1764	1764	250	-250	287	295
71	1	1764	1764	250	-300	287	295
72	1	1764	1764	250	-350	287	295
73	1	1764	1764	250	-400	287	295
74	1	1764	1764	250	-450	287	295
75	1	1764	1764	250	-500	287	295
76	1	1764	1764	250	-550	287	295
77	1	1764	1764	250	-600	287	295
78	1	1764	1764	250	-650	287	295
79	1	1764	1764	250	-700	287	295
80	1	1764	1764	250	-750	287	295
81	1	1764	1764	250	-800	287	295
82	1	1764	1764	250	-850	287	295
83	1	1765	1765	250	-100	287	295
84	1	1765	1765	250	-150	287	295
85	1	1765	1765	250	-200	287	295
86	1	1765	1765	250	-250	287	295
87	1	1765	1765	250	-300	287	295
88	1	1765	1765	250	-350	287	295
